Index,Filename,AVG CPU Cycles / ms,AVG MEM Changes / ms,AVG Wattage,Length of observation period,AVG Raleway Load Time,AVG Montserrat Load Time,AVG SourceSans Load Time
0,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 21.38 profile.json,25405352,29109.072592725654,0.001553771667,80.333,27.508,42.716,49.783
1,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 21.39 profile(1).json,25909278,38035.739853678104,0.001448529722,72.677,22.853,43.171,43.14
2,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 21.39 profile(2).json,25949805,27106.219256286902,0.001593811389,80.912,22.052,39.553,46.594
3,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 21.39 profile.json,26477827,41109.26765556993,0.001534624444,78.266,26.971,40.484,43.989
4,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 21.40 profile(1).json,26082240,29716.59713717539,0.001510410833,76.963,24.709,40.763,48.933
5,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 21.40 profile(2).json,26099870,39336.133348225456,0.0016070449999999999,82.689,26.86,41.126,48.505
6,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 21.40 profile.json,26405169,32446.82135484119,0.001609129167,82.719,25.198,46.151,46.553
7,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 21.41 profile(1).json,27220520,37539.040514077176,0.001701510277,85.565,28.603,43.756,48.864
8,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 21.41 profile(2).json,25776873,25876.65249065768,0.001545265555,77.699,28.017,47.998,45.534
9,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 21.41 profile(3).json,25807786,32592.72714188008,0.001478470556,74.404,18.37,40.614,40.548
10,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 21.41 profile.json,25834951,39741.9269692566,0.001562498055,76.38,26.109,45.034,44.04
11,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 21.42 profile(1).json,26772733,40124.240971999236,0.0016487961109999999,83.701,19.134,39.183,45.611
12,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 21.42 profile(2).json,26889407,27577.840993698414,0.001738584722,89.145,24.784,36.2,54.627
13,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 21.42 profile.json,26382814,34481.32935658198,0.00151524,77.117,26.838,43.008,45.644
14,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 21.43 profile(1).json,25265108,33384.2908004466,0.0016132127779999999,81.154,25.413,45.955,44.955
15,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 21.43 profile(2).json,26610248,33377.2855580683,0.001644085556,83.386,26.387,34.891,50.381
16,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 21.43 profile.json,26105747,39396.41595046169,0.001491636389,77.204,32.094,42.571,41.313
17,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 21.44 profile(1).json,26700702,33183.02097991008,0.001623955556,81.244,27.852,51.718,49.015
18,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 21.44 profile(2).json,26820887,36031.35176721848,0.001562955556,81.61,24.601,43.398,47.444
19,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 21.44 profile(3).json,24764443,39470.20455550843,0.0014116416659999999,71.814,25.711,36.353,44.038
20,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 21.44 profile.json,26930121,31996.043848596775,0.0016871075,86.057,26.332,42.07,48.948
21,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 21.45 profile(1).json,26426330,33849.54206697076,0.001520509722,78.713,22.953,41.048,46.776
22,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 21.45 profile(2).json,24320500,46166.64384744341,0.001632732778,82.039,16.969,45.687,44.679
23,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 21.45 profile.json,25839576,38826.37462661068,0.001567428889,81.014,28.053,37.781,47.671
24,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 21.46 profile(1).json,26476703,36209.16806456786,0.001492009167,76.456,23.663,46.214,45.127
25,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 21.46 profile(2).json,26235090,38929.61343546674,0.001573816945,79.531,30.927,35.352,44.564
26,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 21.46 profile.json,26229087,46841.10543572562,0.001543960833,77.995,27.801,31.52,43.618
27,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 21.47 profile(1).json,24409066,43009.5795755968,0.001419741111,73.057,19.209,42.601,40.624
28,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 21.47 profile(2).json,25348288,31934.790216273857,0.001545519722,79.499,22.887,44.98,43.919
29,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 21.47 profile(3).json,26730973,29256.087682806185,0.001588931388,81.562,27.043,36.425,47.954
30,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 21.47 profile.json,24737025,37481.56368615529,0.001417470555,72.551,23.37,36.31,46.188
31,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 21.48 profile(1).json,25557255,32079.892625402073,0.001538250555,79.226,26.136,36.919,43.987
32,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 21.48 profile(2).json,24284632,39617.84925631933,0.001474471667,76.259,26.687,43.028,42.311
33,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 21.48 profile.json,26760257,37342.14101526001,0.001520696111,77.874,28.411,41.456,46.633
34,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 21.49 profile(1).json,26651186,31060.295941236956,0.001690564166,87.217,25.537,45.106,53.925
35,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 21.49 profile(2).json,26190506,34832.607496436576,0.001582458611,79.554,23.193,39.894,45.629
36,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 21.49 profile.json,27392185,29079.196739101946,0.001617652222,81.196,23.243,40.346,48.008
37,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 21.50 profile(1).json,26867488,34197.497110916636,0.001414539166,71.772,23.915,35.562,40.607
38,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 21.50 profile(2).json,26307579,26046.930204378044,0.001587084445,81.394,23.242,48.522,48.462
39,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 21.50 profile(3).json,26290520,45951.90169344506,0.001585051112,80.351,21.361,45.013,43.984
40,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 21.50 profile.json,25494204,36440.41511286335,0.0017365852779999999,88.449,25.857,46.254,54.27
41,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 21.51 profile(1).json,26711107,42028.827472415716,0.0016869888889999999,86.768,24.694,48.327,49.046
42,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 21.51 profile(2).json,27410247,23563.12992874954,0.001703357223,87.416,23.11,42.174,49.805
43,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 21.51 profile.json,26383051,38131.39381190986,0.001603418889,81.891,32.429,49.861,48.836
44,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 21.52 profile(1).json,27730924,25000.902580236914,0.001726198333,87.416,28.118,40.184,50.619
45,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 21.52 profile(2).json,25849351,37269.56098059997,0.001599470833,81.844,24.409,46.815,45.785
46,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 21.52 profile.json,26217393,37519.03866137509,0.001602724166,81.919,26.404,36.739,46.85
47,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 21.53 profile(1).json,26797644,38779.493660159314,0.001572173334,80.336,27.684,44.01,43.014
48,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 21.53 profile(2).json,26966304,40898.853495540665,0.001593980834,79.967,28.069,40.261,50.283
49,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 21.53 profile(3).json,25034567,45095.934839960624,0.001525203334,79.158,22.832,41.257,47.431
50,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 21.53 profile.json,26550100,33442.4969690497,0.0016371722229999999,84.158,26.829,44.467,50.962
51,analysis/data_extraction/input/WOFF2\Firefox 2023-11-21 21.54 profile(1).json,26740001,33425.06573259387,0.001579357778,81.049,24.545,48.227,48.109
