Index,Filename,AVG CPU Cycles / ms,AVG MEM Changes / ms,AVG Wattage,Length of observation period,AVG Raleway Load Time,AVG Montserrat Load Time,AVG SourceSans Load Time
0,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 00.10 profile(1).json,12481973,33977.19803293364,0.0020184052779999998,110.194,29.347,38.98,31.69
1,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 00.10 profile(2).json,14101715,22027.90529036257,0.0016474744439999999,87.549,24.55,39.637,32.199
2,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 00.10 profile(3).json,14003399,54154.35820980753,0.0009377224999999999,46.563,30.138,48.075,36.628
3,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 00.10 profile.json,15107206,21258.947365050997,0.001715811389,88.36,30.376,41.482,33.868
4,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 00.11 profile(1).json,13045674,23873.293374125045,0.001524118889,80.995,23.314,37.462,31.408
5,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 00.11 profile(2).json,14066798,22274.54880365184,0.001658013889,87.529,29.558,32.842,37.513
6,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 00.11 profile.json,14434088,23271.888074440685,0.001693681945,90.273,26.62,39.55,35.211
7,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 00.12 profile(1).json,12773906,47519.523692450755,0.000876790277,43.623,28.928,37.006,35.637
8,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 00.12 profile(2).json,14404831,25858.698708767308,0.0018629738889999999,98.299,27.593,35.699,36.506
9,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 00.12 profile.json,13161277,29453.34532546764,0.00180194,96.797,30.948,42.138,35.003
10,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 00.13 profile(1).json,14222555,31741.34761186457,0.001742719167,91.309,31.729,32.82,39.201
11,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 00.13 profile(2).json,13781991,25466.7281807756,0.00193065,103.903,32.176,38.238,45.287
12,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 00.13 profile(3).json,12630000,62896.27464408549,0.000772192222,38.024,25.402,33.641,27.312
13,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 00.13 profile.json,14267385,31547.34519583986,0.0019268036109999999,102.403,31.786,46.928,38.108
14,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 00.14 profile(1).json,14007617,25283.30660101755,0.001682515556,88.856,29.299,39.533,33.693
15,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 00.14 profile(2).json,14904954,24691.775872037255,0.001716319722,92.173,27.713,37.025,32.386
16,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 00.14 profile.json,12433567,35594.45989096393,0.0018146313889999999,95.675,29.666,43.393,37.815
17,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 00.15 profile(1).json,14610500,29746.24877154743,0.001551704445,82.697,24.88,41.462,31.881
18,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 00.15 profile(2).json,13362006,51259.91370056951,0.000860455833,42.238,30.166,42.269,42.199
