Index,Filename,AVG CPU Cycles / ms,AVG MEM Changes / ms,AVG Wattage,Length of observation period,AVG Raleway Load Time,AVG Montserrat Load Time,AVG SourceSans Load Time
0,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.01 profile(2).json,25008098,29399.16884400304,0.001682786667,84.839,22.945,48.056,53.205
1,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.01 profile.json,25535470,30928.684247068144,0.001563565556,80.021,19.054,45.134,47.802
2,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.02 profile(1).json,23191198,22341.136182231065,0.001696664167,87.032,26.859,49.409,48.631
3,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.02 profile(2).json,23389025,19529.74750564194,0.001622125556,83.772,37.128,45.089,51.046
4,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.02 profile(3).json,24828487,19249.69693858223,0.001810208889,89.222,21.35,51.553,51.805
5,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.02 profile.json,24663918,28417.066386784263,0.001645407222,84.495,36.966,50.289,53.539
6,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.03 profile(1).json,25227447,18505.959601217262,0.0017625780549999999,90.563,38.789,57.662,46.176
7,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.03 profile(2).json,23406975,19183.078872174057,0.001586203333,80.991,23.524,43.451,47.403
8,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.03 profile.json,24015903,24523.99642233621,0.001680109444,86.589,43.936,52.296,54.091
9,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.04 profile(1).json,24809864,20712.361142780508,0.0017554275,89.976,22.812,53.125,50.28
10,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.04 profile(2).json,23756310,19469.48917294669,0.001702713334,88.276,21.959,45.384,51.405
11,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.04 profile.json,25296397,24773.586484109757,0.001697392778,86.423,28.066,48.644,48.914
12,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.05 profile(1).json,26220233,16044.76214042399,0.001734009722,89.337,25.987,51.392,55.291
13,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.05 profile(2).json,25528815,27414.11131710049,0.001657539445,84.719,25.911,45.896,53.214
14,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.05 profile(3).json,24827706,21286.34808656773,0.001653930278,85.066,27.165,51.129,54.218
15,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.05 profile.json,23801520,16307.316795108787,0.001529405556,78.341,41.383,42.316,46.224
16,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.29 profile(1).json,24605464,27760.61531543545,0.001617652222,83.735,32.317,42.849,49.856
17,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.29 profile(2).json,24825548,24172.423399534346,0.001600470556,82.11,21.114,47.912,47.749
18,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.29 profile.json,24790706,15432.507838026735,0.001867904722,91.269,23.642,47.239,52.313
19,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.30 profile(1).json,23934508,29956.90769343006,0.001622464445,84.087,38.398,48.555,52.253
20,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.30 profile(2).json,24989284,24004.467544251213,0.001717488889,88.401,37.102,49.105,48.975
21,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.30 profile(3).json,24100940,20956.40109368606,0.001466745,75.05,25.278,41.638,41.589
22,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.30 profile.json,23706602,24525.781763654813,0.0016003858329999999,82.391,34.137,47.749,47.219
23,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.31 profile(1).json,24475651,22415.256731615147,0.001700951111,87.864,19.542,47.055,54.155
24,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.31 profile(2).json,25527911,24233.64830573092,0.001732027222,89.148,37.051,44.967,50.575
25,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.31 profile.json,25622004,35218.59928890828,0.001681465,85.964,27.014,50.555,45.395
26,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.32 profile(1).json,25582395,18329.00223115822,0.001740397777,89.733,40.248,49.943,54.944
27,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.32 profile(2).json,24586971,23731.13813914168,0.001554618888,79.979,26.963,42.402,48.346
28,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.32 profile.json,26984767,25142.231991305536,0.0016169913889999999,82.232,33.039,42.792,50.603
29,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.33 profile(1).json,24554004,33361.91142575328,0.001718048055,88.475,25.597,48.793,54.093
30,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.33 profile(2).json,25925105,25853.390096206138,0.0015867286109999999,81.252,26.45,42.206,48.757
31,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.33 profile(3).json,24628800,34415.95104566133,0.001770728333,90.671,27.639,53.55,58.33
32,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.33 profile.json,25321208,22666.240104495704,0.001657929167,84.903,37.404,47.077,52.378
33,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.34 profile(1).json,25022983,27301.795330940433,0.001514358889,76.892,22.31,38.81,46.227
34,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.34 profile(2).json,26138594,24772.523545907257,0.0015540766659999999,79.031,21.996,42.296,47.433
35,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.34 profile.json,24248794,20503.1404629161,0.001730502222,88.677,27.434,54.464,55.465
36,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.35 profile(1).json,25647768,31358.917139902653,0.001721538612,87.947,24.725,43.119,52.232
37,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.35 profile(2).json,24411246,22719.006457559208,0.001578442778,80.748,22.58,48.64,47.039
38,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.35 profile.json,24262438,26917.40764946382,0.00166042,85.933,24.156,39.394,49.063
39,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.36 profile(1).json,25480489,25414.1918506234,0.0016522358339999999,83.329,36.55,41.532,49.968
40,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.36 profile(2).json,26076218,19242.545507658044,0.0017204711109999999,87.809,23.043,49.08,51.984
41,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.36 profile(3).json,25027919,30891.896147609867,0.001691902778,87.692,41.838,50.512,55.409
42,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.36 profile.json,23835521,24863.139949977485,0.001661724722,85.28,37.981,44.271,51.664
43,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.37 profile(1).json,25617500,20521.745738918835,0.001741126389,88.965,22.307,42.484,49.809
44,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.37 profile(2).json,24957066,22942.33590087069,0.001481944167,76.099,38.435,44.802,48.562
45,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.37 profile.json,23963305,29731.25645833037,0.001651337778,84.15,26.886,51.588,51.888
46,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.38 profile(1).json,24395475,25367.236271108883,0.001467371945,76.1,38.019,39.716,46.247
47,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.38 profile(2).json,25617638,16366.83785151871,0.001711676944,88.558,27.954,42.196,52.86
48,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.38 profile.json,25645863,19868.9990892078,0.001712778333,89.236,27.441,49.051,53.78
49,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.39 profile(1).json,23302673,32024.507624868165,0.0015396399999999999,78.821,23.316,42.95,46.462
50,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.39 profile(2).json,24439462,20905.69422116726,0.001475708612,76.05,21.529,37.591,45.199
51,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.39 profile.json,22900590,24489.263101416745,0.001593760556,82.316,20.445,46.167,47.511
52,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.40 profile(1).json,23380783,25319.174591900286,0.001783097778,91.846,27.082,53.206,53.582
53,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.40 profile(2).json,25697898,23385.842769127747,0.001695579722,87.434,37.65,48.977,50.129
54,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.40 profile(3).json,26437988,29930.93382454342,0.001613890556,82.129,28.056,43.91,51.924
55,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.40 profile.json,25788089,23342.203925776674,0.0015447572219999999,78.375,24.877,45.627,42.576
56,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.41 profile(1).json,25130102,15775.08469873398,0.001744108611,89.519,21.249,43.197,52.958
57,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.41 profile(2).json,24907504,22408.400030349887,0.001713269722,87.221,26.147,50.734,50.979
58,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.41 profile.json,25542551,20330.408870191262,0.001623379445,83.292,35.805,48.012,49.296
59,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.42 profile(1).json,25995725,21361.456369422078,0.001668129723,87.09,38.7,42.249,47.629
60,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.42 profile(2).json,25381121,19633.295646925824,0.001660911388,85.652,25.414,39.505,48.898
61,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.42 profile.json,23358413,15114.48797922409,0.001719335833,88.649,23.367,47.838,53.955
62,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.43 profile(1).json,25151224,26228.752498151654,0.001708118611,88.72,38.972,52.647,54.855
63,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.43 profile(2).json,24530082,24953.88609686045,0.001706915556,88.952,43.679,50.604,51.553
64,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.43 profile(3).json,23939547,21846.331411359733,0.001716777222,88.723,26.128,45.425,55.415
65,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.43 profile.json,24877579,24656.480090128287,0.001707745834,89.768,24.741,50.568,52.248
66,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.44 profile(1).json,24348251,29628.96475997312,0.0014360247219999999,74.221,36.873,42.955,42.555
67,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.44 profile(2).json,23550263,21770.559287106218,0.001672908056,86.23,22.673,45.1,49.456
68,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.44 profile.json,23762959,25273.509698369387,0.001658895,86.649,36.872,48.476,53.197
69,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.45 profile(1).json,23988132,22438.67579597638,0.001598759167,81.898,34.525,44.093,49.36
70,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.45 profile(2).json,25116714,28316.659993079098,0.0016383075,83.618,21.767,42.221,48.147
71,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.45 profile.json,25605009,18346.0978325572,0.001672264167,86.734,26.131,49.217,54.422
72,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.46 profile(1).json,25924234,30842.282941155532,0.001688496944,86.203,28.464,49.407,57.315
73,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.46 profile(2).json,24303020,30655.8861035804,0.001642374166,84.133,24.254,44.262,49.698
74,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.46 profile(3).json,24778834,22777.511265222118,0.001577375278,80.996,24.815,44.201,41.338
75,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.46 profile.json,26335355,28628.97969897695,0.001563633333,80.294,26.875,43.922,48.315
76,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.47 profile(1).json,23393285,19438.969300153003,0.001679041945,87.421,31.66,53.557,58.428
77,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.47 profile(2).json,23959358,25382.069698855194,0.001747904166,91.793,37.103,53.275,53.851
78,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.47 profile.json,26027593,21199.852080317836,0.001750615277,89.227,24.776,57.0,47.378
79,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.48 profile(1).json,26707033,34242.668519255494,0.001615652778,83.812,23.876,43.028,51.139
80,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.48 profile(2).json,24545088,18733.463813423194,0.001767424167,90.466,38.419,50.204,53.436
81,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.48 profile.json,26499485,25551.619162363455,0.001629801388,84.049,34.788,47.725,48.013
82,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.49 profile(1).json,25999662,19726.83326316013,0.001550586111,77.054,33.98,43.4,47.746
83,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.49 profile(2).json,24632873,26633.432204690125,0.001666689445,85.4,20.433,45.793,46.093
84,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.49 profile(3).json,25960769,32363.67785419977,0.001563379166,80.663,20.843,45.759,46.004
85,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.49 profile.json,26605230,38750.681952572326,0.001731315556,87.806,26.151,46.888,52.143
86,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.50 profile(1).json,23888428,25881.571956957163,0.001686463611,86.255,21.184,51.313,50.186
87,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.50 profile(2).json,22554320,25862.57413645575,0.001532658889,78.68,21.107,45.562,44.337
88,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.50 profile.json,25229377,28880.561836299843,0.001693376944,87.007,22.222,49.123,52.774
89,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.51 profile(1).json,23995636,22538.996622798197,0.0016216849999999999,83.403,33.931,43.591,44.683
90,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.51 profile(2).json,25055526,24179.081899156263,0.0015535852769999999,78.615,25.2,44.373,42.866
91,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.51 profile.json,22952898,19167.932217945643,0.001681058334,87.045,38.648,52.118,56.531
92,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.52 profile(1).json,26286696,26028.923500546472,0.0016922925,87.107,23.569,40.863,51.492
93,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.52 profile(2).json,24202446,29834.649983207724,0.0016839727769999999,86.288,39.506,50.016,50.98
94,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.52 profile(3).json,24052862,26654.852168281814,0.001516680278,78.354,28.586,48.087,47.764
95,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.52 profile.json,24607406,18969.044660683154,0.001643441667,85.3,37.928,45.167,46.758
96,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.53 profile(1).json,23344137,26062.475295561293,0.0015630402779999999,81.633,24.154,46.393,50.132
97,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.53 profile(2).json,25970304,24076.824319655894,0.001796500833,90.556,23.387,41.807,49.476
98,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.53 profile.json,26142394,28210.700436297582,0.00161284,82.278,20.565,43.011,51.187
99,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.54 profile(1).json,24112554,25428.56076943462,0.0016226677779999999,83.322,25.418,43.238,52.42
100,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.54 profile(2).json,24774484,31097.12079581854,0.001675686944,85.716,22.356,45.326,52.027
101,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.54 profile.json,25287075,29454.92856933975,0.001746701111,89.716,42.355,48.368,61.541
102,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.55 profile(1).json,25273700,17855.030781559515,0.001569360555,80.256,22.556,44.603,49.333
103,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.55 profile(2).json,25636084,20744.366427742927,0.0017002224999999999,87.698,30.871,45.099,57.984
104,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.55 profile(3).json,26114655,16360.900829610218,0.001653371111,84.183,20.783,47.223,50.416
105,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.55 profile.json,25246341,31772.454475662365,0.001704831388,87.561,23.847,46.727,49.363
106,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.56 profile(1).json,26595667,30628.10557035912,0.0017000191669999999,86.793,28.83,43.76,54.868
107,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.56 profile(2).json,26129619,21273.638542167166,0.001695206945,86.337,22.506,47.276,48.871
108,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.56 profile.json,25367239,28967.595967241712,0.0016814480559999999,86.444,24.827,45.794,48.43
109,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.57 profile(1).json,25827091,17615.365957789603,0.001822086944,93.786,23.408,50.2,54.403
110,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.57 profile(2).json,24954941,24791.795441549457,0.001488281389,77.312,25.409,42.02,46.002
111,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.57 profile.json,24606012,32670.9852312805,0.0015434525,79.901,25.945,41.486,44.891
112,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.58 profile(1).json,25220606,40500.54524987534,0.001653371111,85.275,23.865,41.357,48.506
113,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.58 profile(2).json,24627839,23526.39004920978,0.001626903888,81.787,23.274,49.285,49.606
114,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.58 profile.json,26120601,24351.74631795093,0.001593913055,80.365,25.013,41.155,49.429
115,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.59 profile(1).json,25286000,31247.032907495544,0.001584898611,81.477,27.011,49.003,54.597
116,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.59 profile(2).json,24619606,18518.49355334214,0.001582458611,81.828,18.81,45.105,46.446
117,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.59 profile(3).json,26279573,26709.587491164908,0.001603418889,81.602,21.041,43.981,50.936
118,analysis/data_extraction/input/OTF\Firefox 2023-11-20 23.59 profile.json,24614695,23950.578854145853,0.001619465277,83.771,38.285,44.703,49.503
119,analysis/data_extraction/input/OTF\Firefox 2023-11-21 00.00 profile(1).json,26385270,29369.646818049863,0.001697104722,88.147,37.976,44.715,53.631
120,analysis/data_extraction/input/OTF\Firefox 2023-11-21 00.00 profile(2).json,24106527,20883.915346948444,0.001734924722,90.118,22.56,49.079,55.398
121,analysis/data_extraction/input/OTF\Firefox 2023-11-21 00.00 profile.json,23923836,26391.38273698623,0.001610162778,82.845,21.733,45.368,45.604
122,analysis/data_extraction/input/OTF\Firefox 2023-11-21 00.01 profile(1).json,25736682,22869.401527496484,0.001636426667,84.204,23.438,42.62,46.453
123,analysis/data_extraction/input/OTF\Firefox 2023-11-21 00.01 profile(2).json,24386477,29799.2604943253,0.001624870555,83.895,22.786,48.052,49.019
124,analysis/data_extraction/input/OTF\Firefox 2023-11-21 00.01 profile.json,26380218,21485.715069613034,0.0016152461109999999,82.359,23.59,50.853,41.406
125,analysis/data_extraction/input/OTF\Firefox 2023-11-21 00.02 profile(1).json,24131722,23549.208429070415,0.001513274444,78.017,27.179,42.516,47.375
126,analysis/data_extraction/input/OTF\Firefox 2023-11-21 00.02 profile(2).json,24078651,27348.323687121523,0.0016688413889999999,85.077,21.056,45.099,49.762
127,analysis/data_extraction/input/OTF\Firefox 2023-11-21 00.02 profile(3).json,23829718,22360.31590766291,0.001562498056,80.774,35.318,44.022,42.893
128,analysis/data_extraction/input/OTF\Firefox 2023-11-21 00.02 profile.json,26205818,20134.55990807982,0.001769050833,91.166,39.363,53.266,48.234
