Index,Filename,AVG CPU Cycles / ms,AVG MEM Changes / ms,AVG Wattage,Length of observation period,AVG Raleway Load Time,AVG Montserrat Load Time,AVG SourceSans Load Time
0,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.39 profile(1).json,23768620,25323.84102713903,0.0016187875,81.522,29.17,49.265,52.326
1,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.39 profile(2).json,22544770,24317.26405254181,0.001703492778,87.859,55.151,43.961,56.264
2,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.39 profile.json,22252256,29510.819852250756,0.0014827574999999999,77.517,26.68,43.16,50.142
3,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.40 profile(1).json,22546238,32361.74866844756,0.0017569525,92.19,64.26,56.155,52.977
4,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.40 profile(2).json,21412272,19077.908831056826,0.0016506938889999999,84.678,58.519,50.813,49.526
5,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.40 profile(3).json,23396500,21929.392435129972,0.001630208056,83.422,28.598,44.318,52.694
6,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.40 profile.json,23633745,29864.175871976622,0.001577934445,81.082,27.457,44.754,49.898
7,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.41 profile(1).json,23601174,27606.144792401854,0.001676839166,87.07,59.337,48.169,51.982
8,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.41 profile(2).json,21537325,22251.99648938245,0.001587948611,84.024,55.092,46.933,52.081
9,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.41 profile.json,22827644,31699.67373837759,0.001561023889,81.09,31.763,42.615,53.312
10,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.42 profile(1).json,22275596,25740.569315766665,0.0016751447219999999,86.738,32.868,57.825,51.859
11,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.42 profile(2).json,24685636,23684.78091930626,0.0016293269449999999,83.925,28.731,42.939,51.679
12,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.42 profile.json,24918671,31353.949368052312,0.001704831388,88.701,29.901,48.88,55.746
13,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.43 profile(1).json,24492928,34679.78441012777,0.001535014166,77.118,26.72,38.541,46.005
14,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.43 profile(2).json,25243160,29866.127342072836,0.001737551111,88.726,58.989,39.782,49.926
15,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.43 profile.json,21961461,30847.08650976046,0.001707627223,88.078,31.746,55.542,56.032
16,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.44 profile(1).json,26349502,25539.62516854589,0.0017709825,91.901,33.798,44.635,61.139
17,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.44 profile(2).json,24821336,40204.51620251882,0.0016810244449999999,86.47,33.505,51.668,57.945
18,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.44 profile(3).json,25158534,29922.24136287887,0.001637189167,82.97,30.132,48.094,54.151
19,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.44 profile.json,22557779,21318.980188903624,0.001766983611,91.864,58.927,50.845,53.76
20,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.45 profile(1).json,23083058,27167.550153434222,0.001676229166,87.249,57.638,45.134,57.299
21,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.45 profile(2).json,22831730,21839.973247969458,0.001646457778,84.594,27.494,42.95,51.103
22,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.45 profile.json,24647558,25444.50225579007,0.001663639444,86.469,29.18,44.554,53.407
23,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.46 profile(1).json,23957737,17343.339469314957,0.001588524722,80.447,53.452,48.526,47.358
24,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.46 profile(2).json,24370409,16708.2978234879,0.001769135555,91.747,58.711,47.281,52.271
25,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.47 profile(1).json,24454679,28387.10988078698,0.001585271389,81.108,29.393,41.207,52.947
26,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.47 profile(2).json,24082461,34648.752294288286,0.001524779722,76.641,24.339,45.326,50.825
27,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.47 profile(3).json,23143475,39127.827929644925,0.0015238138889999999,79.44,28.364,44.424,51.741
28,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.47 profile.json,23144414,28423.921074410973,0.001588812778,80.513,28.566,39.735,47.941
29,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.48 profile(1).json,23390538,35332.80578546407,0.001744210278,90.303,26.999,52.477,57.408
30,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.48 profile(2).json,23430033,29884.57870469926,0.001715252223,88.106,31.649,53.774,54.763
31,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.48 profile.json,24880024,23484.045318441465,0.001660047222,85.24,57.312,44.759,45.651
32,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.49 profile(1).json,22885618,18711.745451396528,0.001566208889,79.826,22.82,48.712,53.186
33,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.49 profile(2).json,24546942,26491.730226076506,0.001671840556,85.582,30.218,50.692,51.244
34,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.49 profile.json,22739122,29173.70288397494,0.001531642222,79.411,27.338,46.296,47.611
35,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.50 profile(1).json,24376354,42165.61459167267,0.0016179741669999999,82.959,29.55,45.952,50.917
36,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.50 profile(2).json,24742517,29069.98336103629,0.001819528333,91.912,27.963,49.031,57.891
37,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.50 profile(3).json,21879961,24768.64147204285,0.0014903825,77.1,24.75,48.967,48.864
38,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.50 profile.json,24112795,26109.991755846968,0.001742227778,89.647,36.63,43.5,60.495
39,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.51 profile(1).json,22749240,21716.210838714174,0.001774506945,91.852,63.26,43.885,45.267
40,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.51 profile(2).json,22862101,34028.05561645217,0.0015161041659999999,77.675,27.905,38.179,51.193
41,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.51 profile.json,24478651,36260.60459770269,0.001615652778,84.513,35.84,46.405,58.44
42,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.52 profile(1).json,23236177,27556.625268461354,0.001721606389,87.6,30.373,47.148,58.247
43,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.52 profile(2).json,23903550,27892.868119026312,0.001576307778,79.871,25.861,47.941,52.32
44,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.52 profile.json,23100648,21841.259350777575,0.0017782008329999999,93.245,66.492,56.26,62.122
45,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.53 profile(1).json,24404355,23999.527550535,0.0016003180559999999,82.493,54.57,44.603,55.631
46,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.53 profile(2).json,25907660,28902.002164060184,0.001788486111,92.193,26.91,47.79,62.214
47,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.53 profile(3).json,22752257,24122.084192198563,0.001677483056,86.287,34.444,51.071,56.606
48,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.53 profile.json,22021539,23939.3817524085,0.001829152778,96.736,66.435,56.681,65.786
49,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.54 profile(1).json,24404664,33724.678921935774,0.001621007222,84.67,63.457,46.466,55.526
50,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.54 profile(2).json,24037762,22131.38065464501,0.001646932222,85.873,29.56,46.026,58.615
51,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.54 profile.json,24434307,35783.01253302319,0.001718556389,87.507,27.778,43.968,55.204
52,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.55 profile(1).json,23363236,29708.03128709593,0.001633766389,85.285,29.473,46.075,54.122
53,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.55 profile(2).json,24148733,32784.8031645996,0.001454409444,75.303,28.911,46.045,50.09
54,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.55 profile.json,24635498,39964.259938518706,0.001645424166,83.998,31.232,48.639,56.57
55,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.56 profile(1).json,22955420,33961.31408547896,0.001513969167,79.666,26.378,47.418,51.133
56,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.56 profile(2).json,24911245,33396.08279311513,0.001596454722,81.212,29.656,51.892,52.591
57,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.56 profile(3).json,23981353,25351.013298289286,0.001665774445,87.451,58.521,43.937,58.164
58,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.56 profile.json,22507960,31748.534669738216,0.001676076666,84.553,32.224,52.666,54.597
59,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.57 profile(1).json,23759353,27484.368827840513,0.001659572778,83.915,26.14,43.725,53.874
60,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.57 profile(2).json,23933223,22437.30167273621,0.001742990277,90.024,33.359,51.595,59.274
61,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.57 profile.json,23641932,31992.04980393161,0.0017584436109999999,88.501,29.452,52.625,53.869
62,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.58 profile(1).json,24588760,29737.436419282916,0.001736195556,90.135,29.695,49.617,57.677
63,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.58 profile(2).json,23574120,29055.751591379605,0.001620753056,84.058,58.596,45.541,49.056
64,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.58 profile.json,22155673,23596.68279852257,0.0016516766669999999,85.574,35.074,51.428,55.37
65,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.59 profile(1).json,23836916,30527.927347600347,0.0015508572219999999,80.135,48.914,43.668,47.946
66,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.59 profile(2).json,23654454,25585.09269574838,0.001506106944,76.735,27.744,48.538,49.531
67,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.59 profile(3).json,23943890,29667.814894711795,0.001484468889,75.982,28.137,37.043,48.959
68,analysis/data_extraction/input/TTF\Firefox 2023-11-21 01.59 profile.json,23917218,30522.211952117403,0.001643577223,85.326,34.864,55.268,48.369
69,analysis/data_extraction/input/TTF\Firefox 2023-11-21 02.00 profile(1).json,22493663,23797.421993092797,0.001807718056,95.837,66.575,48.605,58.272
70,analysis/data_extraction/input/TTF\Firefox 2023-11-21 02.00 profile(2).json,24018344,24799.105715650454,0.002099111666,111.353,26.626,78.788,79.34
71,analysis/data_extraction/input/TTF\Firefox 2023-11-21 02.00 profile.json,23675695,33699.469365950434,0.001513172778,77.317,30.889,51.932,45.842
72,analysis/data_extraction/input/TTF\Firefox 2023-11-21 02.01 profile(1).json,24033409,25832.446313514698,0.001561735556,80.613,32.642,46.972,49.636
73,analysis/data_extraction/input/TTF\Firefox 2023-11-21 02.01 profile(2).json,24160456,19508.834742993455,0.001599047222,82.719,57.793,47.922,52.754
74,analysis/data_extraction/input/TTF\Firefox 2023-11-21 02.01 profile.json,23509411,34360.44065239803,0.001538691111,78.861,27.877,44.006,51.096
