Index,Filename,AVG CPU Cycles / ms,AVG MEM Changes / ms,AVG Wattage,Length of observation period,AVG Raleway Load Time,AVG Montserrat Load Time,AVG SourceSans Load Time
0,analysis/data_extraction/input/WOFF\Firefox 2023-11-21 18.42 profile(2).json,21467921,55283.32445610774,0.0013949683329999999,71.36,23.2,36.813,42.74
1,analysis/data_extraction/input/WOFF\Firefox 2023-11-21 18.42 profile.json,20053905,62762.7408719171,0.0014319580549999999,75.458,28.677,37.664,42.91
2,analysis/data_extraction/input/WOFF\Firefox 2023-11-21 18.43 profile(1).json,22343469,54751.48814869092,0.001520967222,78.75,22.023,42.062,48.462
3,analysis/data_extraction/input/WOFF\Firefox 2023-11-21 18.43 profile(2).json,20750475,38519.88714258035,0.001579103611,82.026,17.791,34.2,46.581
4,analysis/data_extraction/input/WOFF\Firefox 2023-11-21 18.43 profile.json,21037387,35002.1583786334,0.001625531389,83.381,27.906,46.101,50.276
5,analysis/data_extraction/input/WOFF\Firefox 2023-11-21 18.44 profile(1).json,21874371,52939.713602460266,0.001676449445,87.878,20.118,45.131,54.554
6,analysis/data_extraction/input/WOFF\Firefox 2023-11-21 18.44 profile(2).json,21419707,50119.370207630454,0.001956049722,99.418,46.167,58.776,66.19
7,analysis/data_extraction/input/WOFF\Firefox 2023-11-21 18.44 profile(3).json,21100407,50194.25901582691,0.001473726111,76.15,14.282,36.145,43.799
8,analysis/data_extraction/input/WOFF\Firefox 2023-11-21 18.44 profile.json,21068436,48018.45689928305,0.001330443889,70.017,30.049,35.832,43.953
9,analysis/data_extraction/input/WOFF\Firefox 2023-11-21 18.45 profile(1).json,20236064,34999.48822882985,0.001496651945,78.039,31.294,35.082,45.054
10,analysis/data_extraction/input/WOFF\Firefox 2023-11-21 18.45 profile(2).json,21041880,44307.74692040669,0.001507682778,77.079,26.405,42.576,42.184
11,analysis/data_extraction/input/WOFF\Firefox 2023-11-21 18.45 profile.json,20525733,45138.6747843636,0.001434194722,72.942,19.463,39.604,39.931
12,analysis/data_extraction/input/WOFF\Firefox 2023-11-21 18.46 profile(1).json,20761016,54078.1315242442,0.001470998055,76.582,23.521,39.881,46.658
13,analysis/data_extraction/input/WOFF\Firefox 2023-11-21 18.46 profile(2).json,21259012,33555.581136661225,0.001405135,72.194,22.338,33.009,42.863
14,analysis/data_extraction/input/WOFF\Firefox 2023-11-21 18.46 profile.json,21308720,52101.15117357809,0.001429704445,74.702,29.635,37.899,41.915
15,analysis/data_extraction/input/WOFF\Firefox 2023-11-21 18.47 profile(1).json,20412975,46063.322301275235,0.0014204697219999999,71.866,15.148,37.906,41.416
16,analysis/data_extraction/input/WOFF\Firefox 2023-11-21 18.47 profile(2).json,22101397,45456.261758397864,0.001387953333,71.966,22.889,30.433,44.129
