Index,Filename,AVG CPU Cycles / ms,AVG MEM Changes / ms,AVG Wattage,Length of observation period,AVG Raleway Load Time,AVG Montserrat Load Time,AVG SourceSans Load Time
0,analysis/data_extraction/input/WOFF2PRE\Firefox 2023-11-22 17.39 profile(1).json,21275739,21755.66005067976,0.002108803889,107.366,38.669,65.895,64.856
1,analysis/data_extraction/input/WOFF2PRE\Firefox 2023-11-22 17.39 profile(2).json,19722564,30268.63401026732,0.0020610036109999998,106.652,43.862,70.246,62.245
2,analysis/data_extraction/input/WOFF2PRE\Firefox 2023-11-22 17.39 profile.json,21655952,25585.166843097482,0.0023678844439999997,125.235,31.243,67.478,52.029
3,analysis/data_extraction/input/WOFF2PRE\Firefox 2023-11-22 17.40 profile(1).json,23051038,30652.468740382777,0.002092723611,107.003,41.273,66.51,65.504
4,analysis/data_extraction/input/WOFF2PRE\Firefox 2023-11-22 17.40 profile(2).json,21519278,30413.235394052797,0.002361886111,123.882,44.125,59.725,58.732
5,analysis/data_extraction/input/WOFF2PRE\Firefox 2023-11-22 17.40 profile.json,21223212,24319.273737394647,0.0019476791659999999,100.777,38.328,63.206,63.044
6,analysis/data_extraction/input/WOFF2PRE\Firefox 2023-11-22 17.41 profile(1).json,22610783,22160.632465269056,0.002197050555,112.313,46.495,62.413,71.976
7,analysis/data_extraction/input/WOFF2PRE\Firefox 2023-11-22 17.41 profile(2).json,21697204,18460.17689268337,0.002288957222,107.404,38.806,73.834,72.863
8,analysis/data_extraction/input/WOFF2PRE\Firefox 2023-11-22 17.41 profile.json,18983351,34918.4493287286,0.002105330278,107.257,43.142,67.7,61.244
9,analysis/data_extraction/input/WOFF2PRE\Firefox 2023-11-22 17.42 profile(1).json,20785431,32814.74064337697,0.001945256111,99.297,42.175,59.023,62.607
10,analysis/data_extraction/input/WOFF2PRE\Firefox 2023-11-22 17.42 profile(2).json,22890089,33664.987241086645,0.002080743889,108.212,40.126,63.502,57.122
11,analysis/data_extraction/input/WOFF2PRE\Firefox 2023-11-22 17.42 profile(3).json,22076800,23063.000435404614,0.002212300555,117.007,39.353,65.993,63.948
12,analysis/data_extraction/input/WOFF2PRE\Firefox 2023-11-22 17.42 profile.json,21108641,24548.324550214442,0.0022605413889999998,116.878,39.032,68.812,54.475
13,analysis/data_extraction/input/WOFF2PRE\Firefox 2023-11-22 17.43 profile(1).json,20026933,21481.29562048623,0.002233989445,117.749,38.193,72.025,79.68
14,analysis/data_extraction/input/WOFF2PRE\Firefox 2023-11-22 17.43 profile(2).json,20667436,39167.13598577865,0.00173728,89.521,35.55,50.429,57.387
15,analysis/data_extraction/input/WOFF2PRE\Firefox 2023-11-22 17.43 profile.json,20264977,33790.07083929697,0.001975383333,100.616,38.637,58.207,57.156
16,analysis/data_extraction/input/WOFF2PRE\Firefox 2023-11-22 17.44 profile(1).json,21754594,31349.09936749863,0.001848791389,96.096,39.155,63.531,63.419
17,analysis/data_extraction/input/WOFF2PRE\Firefox 2023-11-22 17.44 profile(2).json,21866203,26605.297331635004,0.002035315833,106.758,40.189,62.378,71.212
18,analysis/data_extraction/input/WOFF2PRE\Firefox 2023-11-22 17.44 profile.json,19968873,31569.79973975389,0.002102009167,111.094,39.869,65.479,64.441
19,analysis/data_extraction/input/WOFF2PRE\Firefox 2023-11-22 17.45 profile(1).json,20050041,31851.44189607369,0.001991633056,103.898,40.358,70.742,57.979
20,analysis/data_extraction/input/WOFF2PRE\Firefox 2023-11-22 17.45 profile(2).json,20612748,27038.57488180291,0.001863871944,96.929,31.57,57.784,56.847
21,analysis/data_extraction/input/WOFF2PRE\Firefox 2023-11-22 17.45 profile(3).json,21531823,22642.238071661828,0.002129747223,111.502,34.173,64.32,63.16
22,analysis/data_extraction/input/WOFF2PRE\Firefox 2023-11-22 17.45 profile.json,21905684,28021.41824555006,0.001876343055,98.079,41.837,51.501,55.715
23,analysis/data_extraction/input/WOFF2PRE\Firefox 2023-11-22 17.46 profile(1).json,21336424,26247.978695332047,0.002230244722,118.343,44.288,66.635,59.43
24,analysis/data_extraction/input/WOFF2PRE\Firefox 2023-11-22 17.46 profile(2).json,22941039,26269.913411688816,0.001803515833,93.8,36.821,56.301,55.322
25,analysis/data_extraction/input/WOFF2PRE\Firefox 2023-11-22 17.46 profile.json,21277352,18241.810137481913,0.002227126945,115.354,31.441,62.68,72.882
26,analysis/data_extraction/input/WOFF2PRE\Firefox 2023-11-22 17.47 profile(1).json,20792518,25806.746798960732,0.0018005505549999999,93.243,40.849,57.802,56.773
27,analysis/data_extraction/input/WOFF2PRE\Firefox 2023-11-22 17.47 profile(2).json,21747427,31604.05387927913,0.002146454445,114.214,40.476,65.501,58.337
28,analysis/data_extraction/input/WOFF2PRE\Firefox 2023-11-22 17.47 profile.json,22720485,26942.11592978317,0.001980178611,103.647,39.331,66.125,58.194
