Index,Filename,AVG CPU Cycles / ms,AVG MEM Changes / ms,AVG Wattage,Length of observation period,AVG Raleway Load Time,AVG Montserrat Load Time,AVG SourceSans Load Time
0,analysis/data_extraction/input/WOFF2REN\Firefox 2023-11-22 21.20 profile(1).json,27109810,41581.96883044073,0.001647508334,82.965,24.422,39.412,48.4
1,analysis/data_extraction/input/WOFF2REN\Firefox 2023-11-22 21.20 profile.json,29994478,45377.66199727602,0.001786198611,90.188,24.163,40.727,48.535
2,analysis/data_extraction/input/WOFF2REN\Firefox 2023-11-22 21.21 profile(1).json,27727355,29839.775143812793,0.001586101667,78.835,23.772,31.322,47.353
3,analysis/data_extraction/input/WOFF2REN\Firefox 2023-11-22 21.21 profile(2).json,27358167,32381.71056657506,0.001616330556,80.574,19.183,47.488,46.433
4,analysis/data_extraction/input/WOFF2REN\Firefox 2023-11-22 21.21 profile(3).json,26504152,44844.6421911338,0.001553602222,78.998,24.617,40.2,45.267
5,analysis/data_extraction/input/WOFF2REN\Firefox 2023-11-22 21.21 profile.json,27058093,34811.499241494,0.0015903716669999999,81.269,28.999,45.78,44.814
6,analysis/data_extraction/input/WOFF2REN\Firefox 2023-11-22 21.22 profile(1).json,24461616,34567.39489525972,0.001460204445,73.883,22.8,42.35,42.577
7,analysis/data_extraction/input/WOFF2REN\Firefox 2023-11-22 21.22 profile(2).json,27515336,36919.52580292634,0.0014915855549999999,75.403,25.496,38.824,44.432
8,analysis/data_extraction/input/WOFF2REN\Firefox 2023-11-22 21.22 profile.json,26168246,23820.506058183222,0.001561938889,78.853,31.198,37.357,45.887
9,analysis/data_extraction/input/WOFF2REN\Firefox 2023-11-22 21.23 profile(1).json,26110015,34161.822128039494,0.001404796111,72.176,24.261,36.141,42.305
10,analysis/data_extraction/input/WOFF2REN\Firefox 2023-11-22 21.23 profile(2).json,26172214,34511.009103877994,0.001424841389,72.322,21.719,40.007,38.966
11,analysis/data_extraction/input/WOFF2REN\Firefox 2023-11-22 21.23 profile.json,26525430,30110.77721684003,0.001521661945,77.762,22.92,41.184,41.454
12,analysis/data_extraction/input/WOFF2REN\Firefox 2023-11-22 21.24 profile(1).json,27419213,43206.59594595618,0.001614246388,81.029,23.675,39.336,44.397
13,analysis/data_extraction/input/WOFF2REN\Firefox 2023-11-22 21.24 profile(2).json,26292210,32065.55013212915,0.001574071111,78.345,22.892,49.062,46.846
14,analysis/data_extraction/input/WOFF2REN\Firefox 2023-11-22 21.24 profile(3).json,26694097,32747.365467524058,0.001632326111,82.861,18.929,40.688,48.159
15,analysis/data_extraction/input/WOFF2REN\Firefox 2023-11-22 21.24 profile.json,26712908,33935.468199330484,0.001656133056,82.831,24.804,51.467,50.804
