Index,Filename,AVG CPU Cycles / ms,AVG MEM Changes / ms,AVG Wattage,Length of observation period,AVG Raleway Load Time,AVG Montserrat Load Time,AVG SourceSans Load Time
0,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.25 profile(1).json,15389944,30721.143972513648,0.001087528333,57.054,11.088,20.464,24.847
1,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.25 profile.json,15851897,21721.70231720354,0.001041490278,53.682,8.248,23.061,19.44
2,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.26 profile(1).json,15949090,31288.07715935387,0.001028527777,52.538,11.425,22.7,28.004
3,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.26 profile(2).json,15990636,36087.911873162346,0.001010431111,51.475,10.755,21.076,21.656
4,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.26 profile.json,15716406,40888.236272463975,0.00094794,49.851,9.636,22.389,17.717
5,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.27 profile(1).json,15312507,26840.255293441547,0.0010197166669999999,52.89,10.904,17.001,22.967
6,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.27 profile(2).json,13450923,21154.436467825515,0.0009792872219999999,50.457,10.577,20.484,20.195
7,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.27 profile(3).json,14976243,23758.826052140128,0.001047556388,53.692,11.99,21.647,24.116
8,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.27 profile.json,16069747,28672.028444677864,0.000969832222,49.923,7.82,24.076,16.057
9,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.28 profile(1).json,15438986,22705.76777383828,0.001071956389,55.779,11.349,21.875,24.332
10,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.28 profile(2).json,14733788,27824.290062434833,0.001056909722,53.788,11.801,21.617,24.279
11,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.28 profile.json,15154934,20433.00676004574,0.000967138056,48.691,14.218,19.612,19.29
12,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.29 profile(1).json,14529982,24269.81652352686,0.000955327777,48.901,8.854,15.47,17.833
13,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.29 profile(2).json,16407298,33997.73924232677,0.000934130278,48.13,12.34,17.034,24.821
14,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.29 profile.json,16334307,36902.084449277085,0.001007177778,51.984,11.493,24.085,17.547
15,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.30 profile(1).json,14910412,17090.14541617273,0.000965358889,50.98,9.695,24.894,18.188
16,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.30 profile(2).json,15539978,32529.785811310725,0.000953413055,49.169,10.456,24.94,17.788
17,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.30 profile(3).json,15889186,37652.60983758023,0.000967595556,49.384,13.071,25.233,26.109
18,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.30 profile.json,16190997,33207.719179301625,0.000966680556,50.404,12.649,23.363,20.828
19,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.31 profile(1).json,15013358,32704.838081483187,0.000943500555,48.18,9.502,21.314,16.765
20,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.31 profile(2).json,14557015,30233.86766259265,0.000988911666,50.577,13.557,19.689,21.407
21,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.31 profile.json,14743004,33238.944967616095,0.0010060425,51.819,12.417,22.872,23.687
22,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.32 profile(1).json,16119416,26734.880876025745,0.000923268889,47.725,8.246,23.053,16.718
23,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.32 profile(2).json,15684197,48213.28103623287,0.0009672905559999999,49.834,8.316,22.722,15.792
24,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.32 profile.json,15800488,42889.49752028507,0.000971221667,50.169,9.344,23.211,16.505
25,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.33 profile(1).json,15753464,25016.67626593139,0.0010192930559999999,51.827,12.996,21.672,22.442
26,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.33 profile(2).json,16584785,25984.2293018159,0.001276831667,64.014,9.828,15.202,22.624
27,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.33 profile.json,16109388,23725.78028350574,0.000917151944,47.646,11.994,18.537,23.408
28,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.34 profile(1).json,14774408,36813.220862312126,0.000956751111,50.775,10.639,24.86,18.87
29,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.34 profile(2).json,16146275,29456.114796628237,0.001189838889,59.527,13.035,22.578,29.912
30,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.34 profile(3).json,16188539,32952.96072997472,0.001101626111,56.797,12.683,20.472,27.793
31,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.34 profile.json,15339242,28132.466651984712,0.000930199167,47.884,9.079,24.14,16.548
32,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.35 profile(1).json,15811274,32666.481776736386,0.001004144722,53.101,11.573,20.908,23.879
33,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.35 profile(2).json,16995544,17698.011537971837,0.001046793889,54.214,11.966,24.196,18.337
34,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.35 profile.json,14841099,22884.2625850688,0.000951515278,49.891,13.57,22.141,23.067
35,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.36 profile(1).json,16178454,28408.07364266302,0.0009526675,48.775,9.312,27.236,17.754
36,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.36 profile(2).json,14082404,24016.028248234416,0.000906714167,47.568,11.027,17.495,19.896
37,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.36 profile.json,15394038,34914.859260949685,0.001003839723,53.626,14.14,25.524,29.718
38,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.37 profile(1).json,14559397,16997.851249128216,0.000992791945,51.433,9.826,15.752,22.033
39,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.37 profile(2).json,15460036,30648.643643798994,0.000939603333,48.534,12.497,27.14,20.652
40,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.37 profile(3).json,14636000,29418.032738831313,0.000968951111,49.577,11.113,19.902,19.189
41,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.37 profile.json,15724884,33627.12453895037,0.000935248611,48.432,13.154,22.326,23.978
42,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.38 profile(1).json,14810530,19194.759163275037,0.000983625,51.349,12.993,28.821,21.194
43,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.38 profile(2).json,15364853,3590.032353284991,0.001002399444,50.817,12.649,22.366,17.732
44,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.38 profile.json,14661838,37189.216443451456,0.000872926945,44.585,16.229,20.819,18.229
45,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.39 profile(1).json,14690094,20682.480786453616,0.000901207222,46.468,11.315,15.953,18.411
46,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.39 profile(2).json,15575479,24116.985585897382,0.000885889444,45.159,11.588,18.756,22.259
47,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.39 profile.json,15293231,35491.74487657196,0.000839122778,43.237,9.426,21.134,15.601
48,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.40 profile(1).json,15690999,31392.205101113046,0.000880670555,45.083,12.294,18.078,20.438
49,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.40 profile(2).json,15899161,32253.44289613683,0.001030696667,53.022,12.329,26.184,22.463
50,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.40 profile(3).json,15583718,28595.337793902814,0.000991029722,50.552,10.372,26.989,19.535
51,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.40 profile.json,15285126,18079.893757131398,0.001005974723,52.713,11.812,19.206,22.204
52,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.41 profile(1).json,15069554,36378.01276826873,0.0009699508339999999,49.736,9.627,23.434,18.447
53,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.41 profile(2).json,16047463,17978.49441165897,0.001072024166,55.858,12.784,20.449,25.95
54,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.41 profile.json,15338327,27197.81527282589,0.001037830277,52.335,11.377,20.864,20.16
55,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.42 profile(1).json,16100012,31559.23451724735,0.001134650833,57.611,14.502,27.062,25.627
56,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.42 profile(2).json,14987309,30591.879824469073,0.001049471111,53.583,10.817,23.564,17.283
57,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.42 profile.json,15654596,36423.03951379152,0.000872520278,45.454,13.236,21.563,22.677
58,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.43 profile(1).json,15824681,34157.64114231845,0.00107909,54.946,10.796,16.524,23.707
59,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.43 profile(2).json,15318830,27901.706661646236,0.0009712725,49.541,12.296,18.467,24.254
60,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.43 profile(3).json,16552300,46625.01708308839,0.001072058055,55.202,8.998,16.698,25.406
61,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.43 profile.json,14559001,17718.567489485882,0.0009933002779999999,49.996,11.933,19.631,21.047
62,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.44 profile(1).json,15343829,21863.251255405492,0.001088765278,55.089,13.42,20.093,22.543
63,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.44 profile(2).json,16292000,38889.389401474225,0.001027985556,53.105,13.454,25.743,20.48
64,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.44 profile.json,14870413,24964.681731056633,0.000967138056,50.732,12.456,20.066,24.655
65,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.45 profile(1).json,17197204,18676.973798404808,0.001143580555,59.011,11.679,17.487,29.766
66,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.45 profile.json,15551278,31350.564263513825,0.001041337778,52.46,12.203,17.043,23.311
67,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.46 profile(1).json,15519123,38689.27098802768,0.0010487933339999999,54.719,10.567,28.823,17.521
68,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.46 profile(2).json,15733074,29824.27846354281,0.000926911944,47.377,13.619,19.986,23.988
69,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.46 profile(3).json,15513528,30862.790580845107,0.0010141080549999999,53.196,11.467,27.835,18.87
70,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.46 profile.json,14300306,20945.01923729269,0.000987403611,49.218,11.485,19.011,17.58
71,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.47 profile(1).json,15869552,33070.24791967318,0.000955954722,49.058,13.297,20.923,25.073
72,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.47 profile(2).json,15810210,40794.79532104893,0.0009474994439999999,49.037,8.619,20.707,13.44
73,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.47 profile.json,15971905,17657.837656591164,0.001061450833,53.188,10.172,22.053,18.406
74,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.48 profile(1).json,15583878,32482.58893003612,0.000990250278,50.523,12.339,26.15,20.528
75,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.48 profile(2).json,15239493,30951.12418645226,0.0010225125,53.755,11.613,18.946,27.135
76,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.48 profile.json,14611050,32761.466135614126,0.000901241111,45.018,12.146,20.806,20.797
77,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.49 profile(1).json,15184378,26696.367014581352,0.000976254167,50.144,11.68,18.956,18.033
78,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.49 profile(2).json,15311950,29292.482009038824,0.000994113611,50.663,11.426,22.869,18.786
79,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.49 profile(3).json,15917154,27705.374006554433,0.000971306389,50.881,12.066,22.958,18.603
80,analysis/data_extraction/input/WOFF2SUB\Firefox 2023-11-22 00.49 profile.json,16433499,36971.31098737636,0.0009070361109999999,46.421,10.46,15.587,23.375
